Country,Tariffs_US,Tariffs_Partner
EU,3.49%,4.01%
Mexico,0.01%,0.01%
Canada,0.14%,0.92%
China,3.61%,7.11%
Japan,3.54%,3.63%
South Korea,0.05%,2.66%
Vietnam,3.70%,9.13%
India,3.83%,12.63%
Brazil,2.17%,13.52%
Singapore,0.00%,0.00%
Thailand,2.56%,9.82%
Malaysia,3.21%,5.47%
Indonesia,2.88%,8.56%
Colombia,0.27%,0.44%
Israel,0.16%,0.60%
